data,casos_novos,pop,indice_isolamento,casos_novos_por_pop
2020-02-25,0,227618,0.38,0.0
2020-02-26,0,227618,0.38,0.0
2020-02-27,0,227618,0.38,0.0
2020-02-28,0,227618,0.38,0.0
2020-02-29,0,227618,0.38,0.0
2020-03-01,0,227618,0.33,0.0
2020-03-02,0,227618,0.38,0.0
2020-03-03,0,227618,0.38,0.0
2020-03-04,0,227618,0.38,0.0
2020-03-05,0,227618,0.38,0.0
2020-03-06,0,227618,0.38,0.0
2020-03-07,0,227618,0.38,0.0
2020-03-08,0,227618,0.32,0.0
2020-03-09,0,227618,0.38,0.0
2020-03-10,0,227618,0.38,0.0
2020-03-11,0,227618,0.38,0.0
2020-03-12,0,227618,0.28,0.0
2020-03-13,0,227618,0.3,0.0
2020-03-14,0,227618,0.38,0.0
2020-03-15,0,227618,0.38,0.0
2020-03-16,0,227618,0.38,0.0
2020-03-17,0,227618,0.35,0.0
2020-03-18,0,227618,0.37,0.0
2020-03-19,0,227618,0.38,0.0
2020-03-20,0,227618,0.38,0.0
2020-03-21,0,227618,0.49,0.0
2020-03-22,0,227618,0.51,0.0
2020-03-23,0,227618,0.47,0.0
2020-03-24,0,227618,0.49,0.0
2020-03-25,0,227618,0.51,0.0
2020-03-26,0,227618,0.5,0.0
2020-03-27,0,227618,0.48,0.0
2020-03-28,0,227618,0.5,0.0
2020-03-29,0,227618,0.54,0.0
2020-03-30,0,227618,0.51,0.0
2020-03-31,0,227618,0.51,0.0
2020-04-01,0,227618,0.5,0.0
2020-04-02,1,227618,0.49,4.393325659657848e-06
2020-04-03,1,227618,0.49,4.393325659657848e-06
2020-04-04,0,227618,0.52,0.0
2020-04-05,0,227618,0.53,0.0
2020-04-06,2,227618,0.47,8.786651319315696e-06
2020-04-07,1,227618,0.46,4.393325659657848e-06
2020-04-08,0,227618,0.45,0.0
2020-04-09,0,227618,0.41,0.0
2020-04-10,2,227618,0.53,8.786651319315696e-06
2020-04-11,3,227618,0.48,1.3179976978973543e-05
2020-04-12,0,227618,0.53,0.0
2020-04-13,0,227618,0.45,0.0
2020-04-14,1,227618,0.46,4.393325659657848e-06
2020-04-15,16,227618,0.45,7.029321055452557e-05
2020-04-16,5,227618,0.44,2.196662829828924e-05
2020-04-17,7,227618,0.43,3.075327961760494e-05
2020-04-18,5,227618,0.47,2.196662829828924e-05
2020-04-19,0,227618,0.54,0.0
2020-04-20,0,227618,0.44,0.0
2020-04-21,1,227618,0.53,4.393325659657848e-06
2020-04-22,1,227618,0.42,4.393325659657848e-06
2020-04-23,0,227618,0.42,0.0
2020-04-24,0,227618,0.42,0.0
2020-04-25,1,227618,0.47,4.393325659657848e-06
2020-04-26,1,227618,0.53,4.393325659657848e-06
2020-04-27,0,227618,0.43,0.0
2020-04-28,8,227618,0.42,3.5146605277262785e-05
2020-04-29,1,227618,0.42,4.393325659657848e-06
2020-04-30,15,227618,0.4,6.589988489486772e-05
2020-05-01,0,227618,0.52,0.0
2020-05-02,0,227618,0.46,0.0
2020-05-03,1,227618,0.53,4.393325659657848e-06
2020-05-04,1,227618,0.41,4.393325659657848e-06
2020-05-05,9,227618,0.41,3.953993093692063e-05
2020-05-06,4,227618,0.41,1.7573302638631392e-05
2020-05-07,11,227618,0.4,4.8326582256236326e-05
2020-05-08,4,227618,0.38,1.7573302638631392e-05
2020-05-09,2,227618,0.42,8.786651319315696e-06
2020-05-10,3,227618,0.47,1.3179976978973543e-05
2020-05-11,4,227618,0.4,1.7573302638631392e-05
2020-05-12,1,227618,0.4,4.393325659657848e-06
2020-05-13,1,227618,0.4,4.393325659657848e-06
2020-05-14,9,227618,0.41,3.953993093692063e-05
2020-05-15,6,227618,0.39,2.6359953957947087e-05
2020-05-16,4,227618,0.44,1.7573302638631392e-05
2020-05-17,9,227618,0.49,3.953993093692063e-05
2020-05-18,0,227618,0.42,0.0
2020-05-19,3,227618,0.41,1.3179976978973543e-05
2020-05-20,8,227618,0.42,3.5146605277262785e-05
2020-05-21,8,227618,0.41,3.5146605277262785e-05
2020-05-22,8,227618,0.4,3.5146605277262785e-05
2020-05-23,14,227618,0.45,6.150655923520987e-05
2020-05-24,6,227618,0.5,2.6359953957947087e-05
2020-05-25,2,227618,0.46,8.786651319315696e-06
2020-05-26,0,227618,0.39,0.0
2020-05-27,8,227618,0.41,3.5146605277262785e-05
2020-05-28,13,227618,0.42,5.711323357555202e-05
2020-05-29,6,227618,0.4,2.6359953957947087e-05
2020-05-30,15,227618,0.44,6.589988489486772e-05
2020-05-31,1,227618,0.47,4.393325659657848e-06
2020-06-01,1,227618,0.4,4.393325659657848e-06
2020-06-02,12,227618,0.4,5.2719907915894174e-05
2020-06-03,20,227618,0.39,8.786651319315696e-05
2020-06-04,30,227618,0.39,0.00013179976978973544
2020-06-05,31,227618,0.39,0.0001361930954493933
2020-06-06,19,227618,0.46,8.347318753349911e-05
2020-06-07,19,227618,0.47,8.347318753349911e-05
2020-06-08,33,227618,0.39,0.00014497974676870899
2020-06-09,4,227618,0.39,1.7573302638631392e-05
2020-06-10,36,227618,0.38,0.00015815972374768253
2020-06-11,30,227618,0.42,0.00013179976978973544
2020-06-12,29,227618,0.39,0.0001274064441300776
2020-06-13,24,227618,0.41,0.00010543981583178835
2020-06-14,33,227618,0.45,0.00014497974676870899
2020-06-15,14,227618,0.37,6.150655923520987e-05
2020-06-16,7,227618,0.38,3.075327961760494e-05
2020-06-17,0,227618,0.38,0.0
2020-06-18,2,227618,0.37,8.786651319315696e-06
2020-06-19,103,227618,0.37,0.00045251254294475835
2020-06-20,16,227618,0.39,7.029321055452557e-05
2020-06-21,25,227618,0.45,0.0001098331414914462
2020-06-22,20,227618,0.38,8.786651319315696e-05
2020-06-23,7,227618,0.38,3.075327961760494e-05
2020-06-24,29,227618,0.38,0.0001274064441300776
2020-06-25,33,227618,0.37,0.00014497974676870899
2020-06-26,37,227618,0.37,0.00016255304940734037
2020-06-27,28,227618,0.41,0.00012301311847041975
2020-06-28,44,227618,0.45,0.0001933063290249453
2020-06-29,23,227618,0.38,0.0001010464901721305
2020-06-30,9,227618,0.38,3.953993093692063e-05
2020-07-01,33,227618,0.38,0.00014497974676870899
2020-07-02,37,227618,0.38,0.00016255304940734037
2020-07-03,31,227618,0.37,0.0001361930954493933
2020-07-04,5,227618,0.39,2.196662829828924e-05
2020-07-05,31,227618,0.44,0.0001361930954493933
2020-07-06,14,227618,0.37,6.150655923520987e-05
2020-07-07,9,227618,0.36,3.953993093692063e-05
2020-07-08,38,227618,0.37,0.00016694637506699822
2020-07-09,11,227618,0.38,4.8326582256236326e-05
2020-07-10,67,227618,0.36,0.0002943528191970758
2020-07-11,17,227618,0.39,7.468653621418342e-05
