data,casos_novos,pop,indice_isolamento,casos_novos_por_pop
2020-02-25,0,141135,0.39,0.0
2020-02-26,0,141135,0.32,0.0
2020-02-27,0,141135,0.39,0.0
2020-02-28,0,141135,0.39,0.0
2020-02-29,0,141135,0.39,0.0
2020-03-01,0,141135,0.34,0.0
2020-03-02,0,141135,0.32,0.0
2020-03-03,0,141135,0.31,0.0
2020-03-04,0,141135,0.31,0.0
2020-03-05,0,141135,0.3,0.0
2020-03-06,0,141135,0.39,0.0
2020-03-07,0,141135,0.31,0.0
2020-03-08,0,141135,0.33,0.0
2020-03-09,0,141135,0.3,0.0
2020-03-10,0,141135,0.3,0.0
2020-03-11,0,141135,0.39,0.0
2020-03-12,0,141135,0.31,0.0
2020-03-13,0,141135,0.34,0.0
2020-03-14,0,141135,0.39,0.0
2020-03-15,0,141135,0.39,0.0
2020-03-16,0,141135,0.39,0.0
2020-03-17,0,141135,0.39,0.0
2020-03-18,0,141135,0.41,0.0
2020-03-19,0,141135,0.43,0.0
2020-03-20,0,141135,0.43,0.0
2020-03-21,0,141135,0.53,0.0
2020-03-22,0,141135,0.54,0.0
2020-03-23,0,141135,0.52,0.0
2020-03-24,0,141135,0.52,0.0
2020-03-25,0,141135,0.52,0.0
2020-03-26,0,141135,0.51,0.0
2020-03-27,0,141135,0.51,0.0
2020-03-28,0,141135,0.54,0.0
2020-03-29,0,141135,0.56,0.0
2020-03-30,0,141135,0.56,0.0
2020-03-31,0,141135,0.56,0.0
2020-04-01,0,141135,0.55,0.0
2020-04-02,0,141135,0.54,0.0
2020-04-03,0,141135,0.54,0.0
2020-04-04,7,141135,0.57,4.959790271725653e-05
2020-04-05,0,141135,0.58,0.0
2020-04-06,0,141135,0.51,0.0
2020-04-07,1,141135,0.51,7.085414673893789e-06
2020-04-08,1,141135,0.5,7.085414673893789e-06
2020-04-09,6,141135,0.49,4.251248804336274e-05
2020-04-10,0,141135,0.58,0.0
2020-04-11,0,141135,0.56,0.0
2020-04-12,0,141135,0.6,0.0
2020-04-13,1,141135,0.53,7.085414673893789e-06
2020-04-14,7,141135,0.6,4.959790271725653e-05
2020-04-15,0,141135,0.5,0.0
2020-04-16,1,141135,0.49,7.085414673893789e-06
2020-04-17,3,141135,0.49,2.125624402168137e-05
2020-04-18,0,141135,0.54,0.0
2020-04-19,0,141135,0.61,0.0
2020-04-20,0,141135,0.51,0.0
2020-04-21,1,141135,0.57,7.085414673893789e-06
2020-04-22,0,141135,0.47,0.0
2020-04-23,0,141135,0.48,0.0
2020-04-24,7,141135,0.5,4.959790271725653e-05
2020-04-25,3,141135,0.54,2.125624402168137e-05
2020-04-26,0,141135,0.6,0.0
2020-04-27,2,141135,0.49,1.4170829347787579e-05
2020-04-28,12,141135,0.5,8.502497608672548e-05
2020-04-29,4,141135,0.49,2.8341658695575157e-05
2020-04-30,11,141135,0.48,7.793956141283168e-05
2020-05-01,6,141135,0.56,4.251248804336274e-05
2020-05-02,1,141135,0.54,7.085414673893789e-06
2020-05-03,0,141135,0.6,0.0
2020-05-04,0,141135,0.49,0.0
2020-05-05,0,141135,0.47,0.0
2020-05-06,10,141135,0.46,7.085414673893789e-05
2020-05-07,4,141135,0.47,2.8341658695575157e-05
2020-05-08,2,141135,0.45,1.4170829347787579e-05
2020-05-09,5,141135,0.5,3.5427073369468946e-05
2020-05-10,6,141135,0.54,4.251248804336274e-05
2020-05-11,0,141135,0.47,0.0
2020-05-12,5,141135,0.46,3.5427073369468946e-05
2020-05-13,15,141135,0.48,0.00010628122010840685
2020-05-14,3,141135,0.45,2.125624402168137e-05
2020-05-15,6,141135,0.47,4.251248804336274e-05
2020-05-16,13,141135,0.44,9.211039076061927e-05
2020-05-17,8,141135,0.49,5.6683317391150314e-05
2020-05-18,8,141135,0.43,5.6683317391150314e-05
2020-05-19,1,141135,0.43,7.085414673893789e-06
2020-05-20,23,141135,0.41,0.00016296453749955716
2020-05-21,10,141135,0.42,7.085414673893789e-05
2020-05-22,3,141135,0.41,2.125624402168137e-05
2020-05-23,8,141135,0.46,5.6683317391150314e-05
2020-05-24,13,141135,0.51,9.211039076061927e-05
2020-05-25,1,141135,0.43,7.085414673893789e-06
2020-05-26,0,141135,0.4,0.0
2020-05-27,20,141135,0.4,0.00014170829347787578
2020-05-28,19,141135,0.42,0.000134622878803982
2020-05-29,4,141135,0.4,2.8341658695575157e-05
2020-05-30,15,141135,0.42,0.00010628122010840685
2020-05-31,8,141135,0.46,5.6683317391150314e-05
2020-06-01,0,141135,0.4,0.0
2020-06-02,18,141135,0.41,0.00012753746413008823
2020-06-03,2,141135,0.4,1.4170829347787579e-05
2020-06-04,21,141135,0.39,0.00014879370815176957
2020-06-05,9,141135,0.39,6.376873206504411e-05
2020-06-06,9,141135,0.46,6.376873206504411e-05
2020-06-07,35,141135,0.48,0.00024798951358628266
2020-06-08,2,141135,0.41,1.4170829347787579e-05
2020-06-09,3,141135,0.41,2.125624402168137e-05
2020-06-10,10,141135,0.4,7.085414673893789e-05
2020-06-11,18,141135,0.44,0.00012753746413008823
2020-06-12,14,141135,0.38,9.919580543451306e-05
2020-06-13,1,141135,0.41,7.085414673893789e-06
2020-06-14,1,141135,0.47,7.085414673893789e-06
2020-06-15,1,141135,0.41,7.085414673893789e-06
2020-06-16,16,141135,0.41,0.00011336663478230063
2020-06-17,0,141135,0.4,0.0
2020-06-18,0,141135,0.4,0.0
2020-06-19,40,141135,0.39,0.00028341658695575157
2020-06-20,8,141135,0.41,5.6683317391150314e-05
2020-06-21,23,141135,0.44,0.00016296453749955716
2020-06-22,1,141135,0.4,7.085414673893789e-06
2020-06-23,8,141135,0.4,5.6683317391150314e-05
2020-06-24,14,141135,0.4,9.919580543451306e-05
2020-06-25,14,141135,0.39,9.919580543451306e-05
2020-06-26,31,141135,0.4,0.00021964785489070747
2020-06-27,5,141135,0.44,3.5427073369468946e-05
2020-06-28,15,141135,0.45,0.00010628122010840685
2020-06-29,22,141135,0.41,0.00015587912282566337
2020-06-30,6,141135,0.41,4.251248804336274e-05
2020-07-01,24,141135,0.41,0.00017004995217345095
2020-07-02,24,141135,0.41,0.00017004995217345095
2020-07-03,30,141135,0.39,0.0002125624402168137
2020-07-04,3,141135,0.42,2.125624402168137e-05
2020-07-05,19,141135,0.47,0.000134622878803982
2020-07-06,27,141135,0.39,0.00019130619619513233
2020-07-07,13,141135,0.39,9.211039076061927e-05
2020-07-08,1,141135,0.39,7.085414673893789e-06
2020-07-09,19,141135,0.4,0.000134622878803982
2020-07-10,27,141135,0.38,0.00019130619619513233
2020-07-11,22,141135,0.41,0.00015587912282566337
2020-07-12,1,141135,0.46,7.085414673893789e-06
2020-07-13,0,141135,0.39,0.0
2020-07-14,44,141135,0.39,0.00031175824565132673
2020-07-15,6,141135,0.4,4.251248804336274e-05
2020-07-16,9,141135,0.39,6.376873206504411e-05
2020-07-17,18,141135,0.38,0.00012753746413008823
2020-07-18,4,141135,0.4,2.8341658695575157e-05
2020-07-19,1,141135,0.45,7.085414673893789e-06
2020-07-20,7,141135,0.37,4.959790271725653e-05
2020-07-21,5,141135,0.36,3.5427073369468946e-05
2020-07-22,75,141135,0.38,0.0005314061005420342
2020-07-23,41,141135,0.37,0.00029050200162964536
2020-07-24,20,141135,0.36,0.00014170829347787578
2020-07-25,47,141135,0.39,0.0003330144896730081
2020-07-26,2,141135,0.45,1.4170829347787579e-05
2020-07-27,0,141135,0.38,0.0
2020-07-28,32,141135,0.38,0.00022673326956460126
2020-07-29,18,141135,0.38,0.00012753746413008823
2020-07-30,44,141135,0.41,0.00031175824565132673
2020-07-31,1,141135,0.4,7.085414673893789e-06
2020-08-01,38,141135,0.37,0.000269245757607964
2020-08-02,0,141135,0.45,0.0
2020-08-03,0,141135,0.36,0.0
2020-08-04,19,141135,0.34,0.000134622878803982
2020-08-05,19,141135,0.33,0.000134622878803982
2020-08-06,41,141135,0.35,0.00029050200162964536
2020-08-07,13,141135,0.35,9.211039076061927e-05
2020-08-08,39,141135,0.37,0.0002763311722818578
2020-08-09,20,141135,0.41,0.00014170829347787578
2020-08-10,0,141135,0.36,0.0
2020-08-11,29,141135,0.36,0.0002054770255429199
2020-08-12,18,141135,0.36,0.00012753746413008823
2020-08-13,14,141135,0.37,9.919580543451306e-05
2020-08-14,32,141135,0.38,0.00022673326956460126
2020-08-15,29,141135,0.4,0.0002054770255429199
2020-08-16,19,141135,0.48,0.000134622878803982
2020-08-17,16,141135,0.38,0.00011336663478230063
2020-08-18,8,141135,0.41,5.6683317391150314e-05
2020-08-19,14,141135,0.38,9.919580543451306e-05
2020-08-20,34,141135,0.38,0.00024090409891238884
2020-08-21,21,141135,0.39,0.00014879370815176957
2020-08-22,15,141135,0.41,0.00010628122010840685
2020-08-23,30,141135,0.46,0.0002125624402168137
2020-08-24,20,141135,0.39,0.00014170829347787578
2020-08-25,10,141135,0.37,7.085414673893789e-05
2020-08-26,57,141135,0.38,0.000403868636411946
2020-08-27,7,141135,0.37,4.959790271725653e-05
2020-08-28,38,141135,0.37,0.000269245757607964
2020-08-29,3,141135,0.37,2.125624402168137e-05
2020-08-30,4,141135,0.44,2.8341658695575157e-05
2020-08-31,3,141135,0.37,2.125624402168137e-05
2020-09-01,39,141135,0.38,0.0002763311722818578
2020-09-02,39,141135,0.37,0.0002763311722818578
2020-09-03,14,141135,0.37,9.919580543451306e-05
