data,casos_novos,pop,indice_isolamento,casos_novos_por_pop
2020-02-25,0,1175501,0.4,0.0
2020-02-26,0,1175501,0.36,0.0
2020-02-27,0,1175501,0.33,0.0
2020-02-28,0,1175501,0.33,0.0
2020-02-29,0,1175501,0.35,0.0
2020-03-01,0,1175501,0.39,0.0
2020-03-02,0,1175501,0.34,0.0
2020-03-03,0,1175501,0.33,0.0
2020-03-04,0,1175501,0.33,0.0
2020-03-05,0,1175501,0.32,0.0
2020-03-06,0,1175501,0.32,0.0
2020-03-07,0,1175501,0.35,0.0
2020-03-08,0,1175501,0.38,0.0
2020-03-09,0,1175501,0.33,0.0
2020-03-10,0,1175501,0.33,0.0
2020-03-11,0,1175501,0.33,0.0
2020-03-12,0,1175501,0.27,0.0
2020-03-13,0,1175501,0.3,0.0
2020-03-14,0,1175501,0.4,0.0
2020-03-15,0,1175501,0.4,0.0
2020-03-16,0,1175501,0.4,0.0
2020-03-17,0,1175501,0.38,0.0
2020-03-18,1,1175501,0.4,8.507011053159461e-07
2020-03-19,0,1175501,0.43,0.0
2020-03-20,0,1175501,0.44,0.0
2020-03-21,0,1175501,0.57,0.0
2020-03-22,0,1175501,0.57,0.0
2020-03-23,0,1175501,0.52,0.0
2020-03-24,0,1175501,0.54,0.0
2020-03-25,3,1175501,0.55,2.5521033159478383e-06
2020-03-26,0,1175501,0.54,0.0
2020-03-27,1,1175501,0.54,8.507011053159461e-07
2020-03-28,0,1175501,0.57,0.0
2020-03-29,0,1175501,0.59,0.0
2020-03-30,6,1175501,0.55,5.1042066318956766e-06
2020-03-31,4,1175501,0.55,3.4028044212637844e-06
2020-04-01,7,1175501,0.54,5.954907737211623e-06
2020-04-02,1,1175501,0.54,8.507011053159461e-07
2020-04-03,1,1175501,0.53,8.507011053159461e-07
2020-04-04,2,1175501,0.58,1.7014022106318922e-06
2020-04-05,0,1175501,0.59,0.0
2020-04-06,2,1175501,0.51,1.7014022106318922e-06
2020-04-07,22,1175501,0.5,1.8715424316950814e-05
2020-04-08,22,1175501,0.5,1.8715424316950814e-05
2020-04-09,11,1175501,0.46,9.357712158475407e-06
2020-04-10,17,1175501,0.56,1.4461918790371084e-05
2020-04-11,0,1175501,0.54,0.0
2020-04-12,6,1175501,0.57,5.1042066318956766e-06
2020-04-13,1,1175501,0.48,8.507011053159461e-07
2020-04-14,5,1175501,0.48,4.2535055265797305e-06
2020-04-15,30,1175501,0.48,2.5521033159478383e-05
2020-04-16,7,1175501,0.47,5.954907737211623e-06
2020-04-17,15,1175501,0.46,1.2760516579739191e-05
2020-04-18,20,1175501,0.52,1.7014022106318922e-05
2020-04-19,0,1175501,0.58,0.0
2020-04-20,8,1175501,0.49,6.805608842527569e-06
2020-04-21,7,1175501,0.56,5.954907737211623e-06
2020-04-22,3,1175501,0.46,2.5521033159478383e-06
2020-04-23,9,1175501,0.46,7.656309947843515e-06
2020-04-24,18,1175501,0.46,1.531261989568703e-05
2020-04-25,27,1175501,0.52,2.2968929843530546e-05
2020-04-26,6,1175501,0.57,5.1042066318956766e-06
2020-04-27,17,1175501,0.46,1.4461918790371084e-05
2020-04-28,41,1175501,0.46,3.487874531795379e-05
2020-04-29,24,1175501,0.45,2.0416826527582706e-05
2020-04-30,25,1175501,0.44,2.1267527632898654e-05
2020-05-01,3,1175501,0.54,2.5521033159478383e-06
2020-05-02,8,1175501,0.51,6.805608842527569e-06
2020-05-03,22,1175501,0.57,1.8715424316950814e-05
2020-05-04,1,1175501,0.45,8.507011053159461e-07
2020-05-05,27,1175501,0.45,2.2968929843530546e-05
2020-05-06,32,1175501,0.45,2.7222435370110275e-05
2020-05-07,33,1175501,0.44,2.8073136475426223e-05
2020-05-08,32,1175501,0.43,2.7222435370110275e-05
2020-05-09,68,1175501,0.49,5.7847675161484334e-05
2020-05-10,14,1175501,0.52,1.1909815474423245e-05
2020-05-11,6,1175501,0.45,5.1042066318956766e-06
2020-05-12,28,1175501,0.45,2.381963094884649e-05
2020-05-13,87,1175501,0.44,7.401099616248732e-05
2020-05-14,39,1175501,0.45,3.3177343107321896e-05
2020-05-15,71,1175501,0.43,6.039977847743218e-05
2020-05-16,106,1175501,0.5,9.017431716349029e-05
2020-05-17,41,1175501,0.54,3.487874531795379e-05
2020-05-18,19,1175501,0.48,1.6163321001002977e-05
2020-05-19,67,1175501,0.47,5.6996974056168393e-05
2020-05-20,59,1175501,0.47,5.0191365213640825e-05
2020-05-21,60,1175501,0.47,5.1042066318956766e-05
2020-05-22,55,1175501,0.47,4.678856079237704e-05
2020-05-23,59,1175501,0.5,5.0191365213640825e-05
2020-05-24,29,1175501,0.54,2.467033205416244e-05
2020-05-25,47,1175501,0.48,3.998295194984947e-05
2020-05-26,33,1175501,0.46,2.8073136475426223e-05
2020-05-27,39,1175501,0.49,3.3177343107321896e-05
2020-05-28,66,1175501,0.47,5.6146272950852446e-05
2020-05-29,107,1175501,0.46,9.102501826880623e-05
2020-05-30,106,1175501,0.51,9.017431716349029e-05
2020-05-31,20,1175501,0.54,1.7014022106318922e-05
2020-06-01,69,1175501,0.46,5.869837626680028e-05
2020-06-02,106,1175501,0.47,9.017431716349029e-05
2020-06-03,171,1175501,0.46,0.00014546988900902678
2020-06-04,148,1175501,0.47,0.00012590376358676003
2020-06-05,167,1175501,0.46,0.00014206708458776302
2020-06-06,190,1175501,0.49,0.00016163321001002977
2020-06-07,113,1175501,0.52,9.612922490070192e-05
2020-06-08,35,1175501,0.46,2.9774538686058115e-05
2020-06-09,162,1175501,0.46,0.00013781357906118328
2020-06-10,207,1175501,0.46,0.00017609512880040085
2020-06-11,170,1175501,0.47,0.00014461918790371084
2020-06-12,199,1175501,0.45,0.0001692895199578733
2020-06-13,192,1175501,0.48,0.00016333461222066165
2020-06-14,170,1175501,0.52,0.00014461918790371084
2020-06-15,32,1175501,0.46,2.7222435370110275e-05
2020-06-16,373,1175501,0.46,0.0003173115122828479
2020-06-17,45,1175501,0.46,3.8281549739217576e-05
2020-06-18,28,1175501,0.44,2.381963094884649e-05
2020-06-19,797,1175501,0.45,0.000678008780936809
