data,casos_novos,pop,indice_isolamento,casos_novos_por_pop
2020-02-25,0,11869660,0.43,0.0
2020-02-26,0,11869660,0.36,0.0
2020-02-27,0,11869660,0.31,0.0
2020-02-28,1,11869660,0.31,8.424841149620124e-08
2020-02-29,0,11869660,0.35,0.0
2020-03-01,0,11869660,0.39,0.0
2020-03-02,0,11869660,0.32,0.0
2020-03-03,0,11869660,0.32,0.0
2020-03-04,1,11869660,0.31,8.424841149620124e-08
2020-03-05,3,11869660,0.3,2.527452344886037e-07
2020-03-06,0,11869660,0.43,0.0
2020-03-07,6,11869660,0.34,5.054904689772074e-07
2020-03-08,3,11869660,0.38,2.527452344886037e-07
2020-03-09,0,11869660,0.31,0.0
2020-03-10,3,11869660,0.31,2.527452344886037e-07
2020-03-11,11,11869660,0.31,9.267325264582136e-07
2020-03-12,15,11869660,0.25,1.2637261724430185e-06
2020-03-13,0,11869660,0.29,0.0
2020-03-14,18,11869660,0.43,1.5164714069316224e-06
2020-03-15,0,11869660,0.43,0.0
2020-03-16,83,11869660,0.43,6.9926181541847025e-06
2020-03-17,11,11869660,0.38,9.267325264582136e-07
2020-03-18,58,11869660,0.4,4.886407866779672e-06
2020-03-19,45,11869660,0.43,3.791178517329056e-06
2020-03-20,47,11869660,0.45,3.959675340321459e-06
2020-03-21,0,11869660,0.57,0.0
2020-03-22,0,11869660,0.56,0.0
2020-03-23,0,11869660,0.53,0.0
2020-03-24,0,11869660,0.55,0.0
2020-03-25,416,11869660,0.55,3.504733918241972e-05
2020-03-26,177,11869660,0.55,1.4911968834827619e-05
2020-03-27,145,11869660,0.55,1.221601966694918e-05
2020-03-28,0,11869660,0.56,0.0
2020-03-29,0,11869660,0.59,0.0
2020-03-30,189,11869660,0.57,1.5922949772782033e-05
2020-03-31,652,11869660,0.56,5.492996429552321e-05
2020-04-01,533,11869660,0.56,4.490440332747526e-05
2020-04-02,397,11869660,0.56,3.3446619363991895e-05
2020-04-03,387,11869660,0.56,3.260413524902988e-05
2020-04-04,294,11869660,0.58,2.4769032979883164e-05
2020-04-05,116,11869660,0.59,9.772815733559343e-06
2020-04-06,142,11869660,0.54,1.1963274432460576e-05
2020-04-07,504,11869660,0.52,4.246119939408542e-05
2020-04-08,689,11869660,0.51,5.804715552088265e-05
2020-04-09,530,11869660,0.48,4.465165809298666e-05
2020-04-10,505,11869660,0.56,4.2545447805581624e-05
2020-04-11,149,11869660,0.54,1.2553013312933985e-05
2020-04-12,221,11869660,0.58,1.8618898940660473e-05
2020-04-13,66,11869660,0.5,5.560395158749282e-06
2020-04-14,287,11869660,0.5,2.4179294099409756e-05
2020-04-15,1059,11869660,0.5,8.921906777447711e-05
2020-04-16,144,11869660,0.49,1.2131771255452979e-05
2020-04-17,836,11869660,0.49,7.043167201082423e-05
2020-04-18,684,11869660,0.53,5.7625913463401645e-05
2020-04-19,240,11869660,0.58,2.0219618759088296e-05
2020-04-20,147,11869660,0.51,1.2384516489941582e-05
2020-04-21,527,11869660,0.57,4.439891285849805e-05
2020-04-22,349,11869660,0.48,2.9402695612174233e-05
2020-04-23,534,11869660,0.48,4.498865173897146e-05
2020-04-24,575,11869660,0.48,4.8442836610315714e-05
2020-04-25,1298,11869660,0.52,0.0001093544381220692
2020-04-26,415,11869660,0.58,3.496309077092352e-05
2020-04-27,476,11869660,0.48,4.010224387219179e-05
2020-04-28,1408,11869660,0.48,0.00011862176338665134
2020-04-29,1241,11869660,0.48,0.00010455227866678574
2020-04-30,1511,11869660,0.47,0.00012729934977076006
2020-05-01,938,11869660,0.55,7.902500998343676e-05
2020-05-02,407,11869660,0.52,3.4289103478953904e-05
2020-05-03,328,11869660,0.58,2.7633478970754007e-05
2020-05-04,251,11869660,0.48,2.114635128554651e-05
2020-05-05,1067,11869660,0.48,8.989305506644672e-05
2020-05-06,2047,11869660,0.47,0.00017245649833272394
2020-05-07,1086,11869660,0.48,9.149377488487454e-05
2020-05-08,1094,11869660,0.46,9.216776217684415e-05
2020-05-09,1420,11869660,0.5,0.00011963274432460576
2020-05-10,520,11869660,0.54,4.380917397802464e-05
2020-05-11,464,11869660,0.49,3.909126293423737e-05
2020-05-12,911,11869660,0.48,7.675030287303933e-05
2020-05-13,1720,11869660,0.48,0.00014490726777346613
2020-05-14,1471,11869660,0.49,0.00012392941331091202
2020-05-15,2119,11869660,0.48,0.00017852238396045043
2020-05-16,1437,11869660,0.52,0.00012106496732004118
2020-05-17,502,11869660,0.56,4.229270257109302e-05
2020-05-18,257,11869660,0.5,2.165184175452372e-05
2020-05-19,1452,11869660,0.49,0.0001223286934924842
2020-05-20,1826,11869660,0.51,0.00015383759939206347
2020-05-21,1985,11869660,0.52,0.00016723309681995947
2020-05-22,1522,11869660,0.49,0.00012822608229721828
2020-05-23,1914,11869660,0.53,0.00016125145960372918
2020-05-24,640,11869660,0.57,5.3918983357568796e-05
2020-05-25,677,11869660,0.53,5.703617458292824e-05
2020-05-26,1350,11869660,0.49,0.00011373535551987167
2020-05-27,1710,11869660,0.49,0.00014406478365850412
2020-05-28,3455,11869660,0.49,0.0002910782617193753
2020-05-29,3022,11869660,0.48,0.0002545986995415201
2020-05-30,2878,11869660,0.52,0.00024246692828606717
2020-05-31,1512,11869660,0.55,0.00012738359818225626
2020-06-01,995,11869660,0.49,8.382716943872024e-05
